CVE-2020-9367||Zoho ManageEngine Desktop Central MSP build MSP build 10.0.486中的MPS代理容易受到DLL劫持的影响：dcinventory.exe和dcconfig.exe试图加载CSUNSAPI.dll而不提供完整路径。由于该DLL在安装中缺失，该问题变得更加严重，因此有可能劫持该DLL并随后注入代码，导致权限升级到NT AUTHORITY/SYSTEM。
CVE-2021-0626||在ged中，由于缺少边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05687510；问题编号：ALPS05687510。
CVE-2021-0627||在OMA DRM中，由于整数溢出，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05722434; 问题编号: ALPS05722434.
CVE-2021-0628||在OMA DRM中，由于输入验证不当，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05722454; 问题编号: ALPS05722454.
CVE-2021-0629||在mdlactl驱动中，由于释放后使用，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05776625；问题编号：ALPS05776625。
CVE-2021-0630||在wifi驱动中，由于缺少边界检查，可能出现系统崩溃。这可能导致远程拒绝服务，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05551397; 问题编号: ALPS05551397.
CVE-2021-0631||在wifi驱动中，由于缺少边界检查，可能出现系统崩溃。这可能导致远程拒绝服务，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05551435; 问题编号: ALPS05551435.
CVE-2021-0632||在wifi驱动中，由于缺少边界检查，可能存在越界读取。在某些构建条件下，这可能导致远程信息泄露给近端攻击者，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05560246；问题编号：ALPS05551383。
CVE-2021-0633||在显示驱动中，由于不正确的边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05585423; 问题编号: ALPS05585423.
CVE-2021-0634||在显示器驱动程序中，由于未初始化的数据，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05594994; 问题编号: ALPS05594994.
CVE-2021-0635||提取格式不正确的flv文件时，内存损坏，播放界面显示无法播放视频，发现日志崩溃。此问题可能导致黑客恶意代码攻击，造成用户权限的丧失。产品。Androidversion:Android-10Android ID: A-189402477
CVE-2021-0636||提取格式不正确的avi文件时，内存损坏，播放界面显示无法播放视频，发现日志崩溃。该问题可能导致黑客恶意代码攻击，造成用户权限的丧失。产品。安卓版本。Android-10Android ID: A-189392423
CVE-2021-0639||在libl3oemcrypto.cpp的多个函数中，由于处理敏感数据的方式，现有的混淆机制可能存在缺陷。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android SoCAndroid ID: A-190724551
CVE-2021-0640||在StatsdStats.cpp的noteAtomLogged中，由于缺少边界检查，可能存在越界写入。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-10 Android-11 Android-9Android ID: A-187957589
CVE-2021-0641||在SubscriptionController.java的getAvailableSubscriptionInfoList中，由于缺少权限检查，可能会出现唯一标识符的泄露。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-8.1 Android-9 Android-10 Android-11Android ID: A-185235454
CVE-2021-0642||在VoicemailSettingsFragment.java的onResume中，由于缺少权限检查，有可能在没有权限的情况下检索到可追踪的标识符。这可能导致本地信息泄露，不需要额外的执行权限。利用时需要用户互动。产品。安卓版本。Android-10 Android-11 Android-8.1 Android-9Android ID: A-185126149
CVE-2021-0643||在SubscriptionController.java的getAllSubInfoList中，由于缺少权限检查，有可能在没有正确权限的情况下检索一个长期标识符。这可能导致本地信息泄露，需要用户执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-10 Android-11 Android-12Android ID: A-183612370
CVE-2021-0644||在SubscriptionController.java的conditionallyRemoveIdentifiers中，由于缺少权限检查，有可能检索到一个可追踪的标识符。这可能导致本地信息泄露，需要用户执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11 Android-10Android ID: A-181053462
CVE-2021-0645||在ExternalStorageProvider.java的shouldBlockFromTree中，有可能存在权限绕过。这可能导致本地权限升级，允许应用程序读取外部存储中的私人应用程序目录，这在Android 11中应该是受限制的，不需要额外的执行权限。利用时需要用户互动。产品。安卓版本。Android-11Android ID: A-157320644
CVE-2021-0646||在sqlite3.c的sqlite3_str_vappendf中，由于输入验证不当，可能存在越界写入。如果用户也能在不需要额外执行权限的情况下向特权进程的SQL中注入printf，这可能导致本地权限升级。利用时不需要用户互动。产品。AndroidVersions:Android-9 Android-10 Android-11 Android-8.1Android ID: A-153352319
CVE-2021-0649||在Vpn.java的stopVpnProfile中，由于权限绕过，可能存在VPN配置文件重置。这可能导致本地权限升级CONTROL_ALWAYS_ON_VPN，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-11Android ID: A-191382886
CVE-2021-0650||在eas_wtengine.c的WT_InterpolateNoLoop中，由于边界检查不正确，可能存在越界读取。这可能导致远程信息泄露，不需要额外的执行权限。利用时需要用户互动。产品。AndroidVersions:Android-10 Android-11 Android-9Android ID: A-190286685
CVE-2021-0651||在PackageItemInfo.java的loadLabel中，由于不正确的输入验证，有可能通过在应用程序中有一个长的标签来DoS一个设备。这可能导致本地拒绝服务，不需要额外的执行权限。利用时需要用户互动。产品。AndroidVersions:Android-11 Android-9 Android-10Android ID: A-67013844
CVE-2021-0652||在VectorDrawable.java的VectorDrawable::VectorDrawable中，由于共享不是线程安全的对象，有可能引入内存损坏。这可能会导致本地权限的升级，而不需要额外的执行权限。利用时不需要用户互动。安卓版本。Android-8.1 Android-9 Android-10 Android-11Android ID: A-185178568
CVE-2021-0653||在NetworkPolicyManagerService.java的enqueueNotification中，由于缺少权限检查，有可能检索到一个可追踪的标识。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-10 Android-11 Android-9Android ID: A-177931370
CVE-2021-0654||在TaskThumbnailView.java的isRealSnapshot中，由于缺少权限检查，可能存在数据暴露。这可能导致锁定配置文件的本地信息泄露，不需要额外的执行权限。利用时需要用户互动。安卓版本。Android kernelAndroid ID: A-168802517参考文献。不适用
CVE-2021-0655||在mdlactl驱动程序中，由于不正确的边界检查，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05673424; 问题编号: ALPS05673424.
CVE-2021-0656||在edma驱动中，由于释放后使用，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05709376; 问题编号: ALPS05709376.
CVE-2021-0657||在apusys，由于基于堆栈的缓冲区溢出，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672103; 问题编号: ALPS05672103.
CVE-2021-0658||在apusys中，由于缺少边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672107；问题编号：ALPS05672107。
CVE-2021-0659||在apusys中，由于不正确的边界检查，可能存在越界读取。这可能导致本地信息泄露，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05687559；问题编号：ALPS05687559。
CVE-2021-0660||在ccu中，由于错误处理，可能存在越界读取。这可能导致信息泄露，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05827145; 问题编号: ALPS05827145.
CVE-2021-0661||在音频DSP中，由于不正确的边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05844413；问题编号：ALPS05844413。
CVE-2021-0662||在音频DSP中，由于不正确的边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05844434；问题编号：ALPS05844434。
CVE-2021-0663|||在音频DSP中，由于不正确的边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05844458; 问题编号: ALPS05844458.
CVE-2021-0664||在ccu中，由于释放后使用，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05827158; 问题编号: ALPS05827158.
CVE-2021-0665||在apusys中，由于不正确的边界检查，可能存在越界读取。这可能导致本地信息泄露，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672113; 问题编号: ALPS05672113.
CVE-2021-0666||在apusys，由于不正确的边界检查，可能存在越界读取。这可能导致本地信息泄露，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672086; 问题编号: ALPS05672086.
CVE-2021-0667||在apusys，由于释放后使用，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05670581; 问题编号: ALPS05670581.
CVE-2021-0668||在apusys，由于错误处理，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05670521; 问题编号: ALPS05670521.
CVE-2021-0669||在apusys，由于释放后使用，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05681550；问题编号：ALPS05681550。
CVE-2021-0670||在apusys，由于释放后使用，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05654663; 问题编号: ALPS05654663.
CVE-2021-0671||在apusys，由于缺少边界检查，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05664273; 问题编号: ALPS05664273.
CVE-2021-0672||在浏览器应用程序中，由于缺少权限检查，可能存在信息泄露。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android SoCAndroid ID: A-199678035
CVE-2021-0673||在Aurisys HAL中，由于缺少权限检查，可能存在权限绕过。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。补丁ID:ALPS05977326; 问题编号: ALPS05977326.
CVE-2021-0674||在alac解码器中，由于不正确的边界检查，可能存在越界读取。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS06064258；问题ID：ALPS06064237。
CVE-2021-0675||在alac解码器中，由于不正确的边界检查，可能存在越界写入。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS06064258; 问题编号: ALPS06064258.
CVE-2021-0676||在geniezone驱动中，由于不正确的边界检查，可能存在越界读取。这可能导致本地信息泄露，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05863009；问题编号：ALPS05863009。
CVE-2021-0677||在ccu驱动中，由于整数溢出，可能存在越界读取。这可能导致本地信息泄露，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05827154; 问题编号: ALPS05827154.
CVE-2021-0678||在apusys中，由于缺少边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672107；问题编号：ALPS05722511。
CVE-2021-0679||在apusys，由于缺少边界检查，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672107; 问题编号: ALPS05687781.
CVE-2021-0680||在系统属性中，由于缺少权限检查，可能存在信息泄露。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android SoCAndroid ID: A-192535676
CVE-2021-0681||在系统属性中，由于缺少权限检查，可能存在信息泄露。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android SoCAndroid ID: A-192535337
CVE-2021-0682||在NotificationManagerService.java的sendAccessibilityEvent中，由于缺少权限检查，可能导致通知数据的泄露。这可能导致本地信息泄露，需要用户执行权限。利用时不需要用户互动。产品。安卓版本。Android-11 Android-8.1 Android-9 Android-10Android ID: A-159624555
CVE-2021-0683||在ActivityManagerShellCommand.java的runTraceIpcStop中，由于混淆的副手，可能会删除系统文件。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-11 Android-8.1 Android-9 Android-10Android ID: A-185398942
CVE-2021-0684||在TouchInputMapper.cpp的TouchInputMapper::sync中，由于free后使用，可能存在越界写入。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-10 Android-11 Android-8.1 Android-9Android ID: A-179839665
CVE-2021-0685|||在ParsedIntentInfo.java的ParsedIntentInfo中，由于不安全的反序列化，可能存在包裹序列化/反序列化不匹配。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-191055353
CVE-2021-0686||在RoleManagerService.java的getDefaultSmsPackage中，由于缺少权限检查，有可能获得不同设备用户的默认短信应用程序的信息。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11 Android-10Android ID: A-177927831
CVE-2021-0687||在Layout.java的ellipsize中，由于输入验证不当，可能存在ANR。这可能导致本地拒绝服务，不需要额外的执行权限。利用时需要用户互动。产品。AndroidVersions:Android-9 Android-10 Android-11 Android-8.1Android ID: A-188913943
CVE-2021-0688||在PhoneWindowManager.java的lockNow中，由于存在竞赛条件，可能存在锁屏绕过。这可能导致本地权限升级，需要用户执行权限。利用时不需要用户互动。产品。安卓版本。Android-10 Android-11 Android-8.1 Android-9Android ID: A-161149543
CVE-2021-0689||在SkSwizzler_opts.h的RGB_to_BGR1_portable中，由于缺少边界检查，可能存在越界读取。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-10 Android-11 Android-8.1 Android-9Android ID: A-190188264
CVE-2021-0690||在ih264d_parse_pslice.c的ih264d_mark_err_slice_skip中，由于堆缓冲区溢出，可能存在越界写入。这可能导致远程信息泄露，不需要额外的执行权限。利用时需要用户互动。安卓版本。Android-9 Android-10 Android-11 Android-8.1Android ID: A-182152757
CVE-2021-0691||在system_app.te中配置的SELinux策略中，由于过度许可的SELinux策略，system_app有可能在其他进程中获得代码执行。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-188554048
CVE-2021-0692||在FirstScreenBroadcast.java的sendBroadcastToInstaller中，由于不安全的PendingIntent，可能存在活动启动。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-11 Android-9 Android-10Android ID: A-179289753
CVE-2021-0693||在HeapDumpProvider.java的openFile中，由于未受保护的提供者，有可能从可调试的应用程序中检索到生成的堆转储数据。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-11Android ID: A-184046948
CVE-2021-0694||在ActiveServices.java的setServiceForegroundInnerLocked中，由于后台限制不足，后台应用程序有可能重新获得前台权限。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-183147114
CVE-2021-0695||在xt_qtaguid.c的get_sock_stat中，由于free后使用，可能存在越界读取。这可能导致本地信息泄露，需要用户执行权限。利用时不需要用户互动。产品。安卓版本。Android kernelAndroid ID: A-184018316参考文献。上游内核
CVE-2021-0696||在TBD的dllist_remove_node中，由于存在竞赛条件，可能存在自由后使用的错误。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android SoCAndroid ID: A-242344778
CVE-2021-0697||在rgxtransfer.c的PVRSRVRGXSubmitTransferKM中，由于存在竞赛条件，可能存在用户在释放后。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android SoCAndroid ID: A-238918403
CVE-2021-0698||在PVRSRVBridgeHeapCfgHeapDetails中，由于未初始化的数据，可能存在内核堆内容的泄漏。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android SoCAndroid ID: A-236848165
CVE-2021-0699||在TBD的HTBLogKM中，由于缺少边界检查，可能存在越界写入。这可能导致内核中的本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android SoCAndroid ID: A-242345178
CVE-2021-0702||在RevertActiveSessions of apexd.cpp中，由于非故意的MediaStore降级，有可能会分享错误的文件。这可能导致本地信息泄露，不需要额外的执行权限。利用时需要用户互动。产品。AndroidVersions:Android-11Android ID: A-193932765
CVE-2021-0703||在init.cpp的SecondStageMain中，由于shared_ptr使用不正确，可能存在free之后的使用。如果攻击者对设备有物理访问权，这可能导致本地权限升级，而不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-11Android ID: A-184569329
CVE-2021-0704|||在创建NoCredentialsPermissionNotification和AccountManagerService.java的相关函数中，由于权限绕过，有可能从设备中检索没有权限的账户。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-10 Android-11 Android-9Android ID: A-179338675
CVE-2021-0705||在NotificationManagerService.java的sanitizeSbn中，由于绕过后台服务限制，有可能使服务在前台运行并保持授予的权限。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-11 Android-10Android ID: A-185388103
CVE-2021-0706|||在PluginManagerImpl.java的startListening中，由于缺少权限检查，有可能禁用任意的应用程序组件。这可能导致本地拒绝服务，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-10 Android-11Android ID: A-193444889
CVE-2021-0707|||在dma-buf.c的dma_buf_release中，由于free后使用，可能存在内存损坏。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android kernelAndroid ID: A-155756045参考文献。上游内核
CVE-2021-0708||在ActivityManagerShellCommand.java的runDumpHeap中，由于混淆的副手，有可能删除系统文件。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-9 Android-10 Android-11 Android-8.1Android ID: A-183262161
CVE-2021-0734||在设置中，由于侧信道信息泄露，有可能确定一个应用程序是否安装了没有查询权限。这可能导致已安装软件包的本地信息泄露，没有适当的查询权限，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-13Android ID: A-189122911
CVE-2021-0735||在PackageManager中，由于缺少权限检查，存在一种可能的方式来获取已安装软件包的信息，忽略了Android 11中引入的限制。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-13Android ID: A-188913056
CVE-2021-0769||在AllowBindAppWidgetActivity.java的onCreate中，由于UI不清晰，可能会绕过用户交互要求。这可能导致本地权限升级，不需要额外的执行权限。利用时需要用户互动。产品。AndroidVersions:Android-12Android ID: A-184676316
CVE-2021-0799||在ActivityThread.java中，存在一种可能的方式来碰撞内容提供者的权限。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-12Android ID: A-197647956
CVE-2021-0869||在DumpstateDevice.cpp的GetTimeStampAndPkt中，由于边界检查不正确，可能存在越界写入。这可能导致远程代码执行，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。安卓内核 安卓ID：A-179620905 参考文献。不适用
CVE-2021-0870||在rw_main.cc的RW_SetActivatedTagType中，由于存在竞赛条件，可能存在内存损坏。这可能导致远程代码执行，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-9 Android-10 Android-11 Android-8.1Android ID: A-192472262
CVE-2021-0871||在PowerVR内核驱动程序的PVRSRVBridgePMRPDumpSymbolicAddr中，一个缺失的大小检查意味着可能存在一个整数溢出，可能允许越界堆访问。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android SoCAndroid ID: A-238921253
CVE-2021-0887||在PVRSRVBridgeHeapCfgHeapConfigName中，由于未初始化的数据，可能存在内核堆内容的泄漏。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android SoCAndroid ID: A-236848817
CVE-2021-0889||在Android TV中，由于配对流程中缺乏速率限制，可能存在无声的配对。这可能导致远程代码执行，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-10 Android-11 Android-12 Android-8.1 Android-9Android ID: A-180745296
CVE-2021-0891||一个无特权的应用程序可以触发PowerVR驱动程序返回一个未初始化的堆内存，导致信息泄露。AndroidVersions:Android SoCAndroid ID: A-236849490
CVE-2021-0893||在apusys中，由于释放后使用，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672107; 问题编号: ALPS05687474.
CVE-2021-0894||在apusys中，由于缺少边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672107; 问题编号: ALPS05672038.
CVE-2021-0895||在apusys中，由于缺少边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672107; 问题编号: ALPS05672003.
CVE-2021-0896||在apusys中，由于缺少边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672107; 问题编号: ALPS05671206.
CVE-2021-0897||在apusys中，由于缺少边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672107; 问题编号: ALPS05670549.
CVE-2021-0898||在apusys，由于释放后使用，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672107; 问题编号: ALPS05672071.
CVE-2021-0899||在apusys，由于释放后使用，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672107; 问题编号: ALPS05672059.
CVE-2021-0900||在apusys中，由于不正确的边界检查，可能存在越界读取。这可能导致本地信息泄露，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672107; 问题编号: ALPS05672055.
CVE-2021-0901||在apusys，由于缺少边界检查，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672107; 问题编号: ALPS05664618.
CVE-2021-0902||在apusys，由于不正确的边界检查，可能存在越界读取。这可能导致本地信息泄露，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672107; 问题编号: ALPS05656484.
CVE-2021-0903||在apusys中，由于缺少边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05672107; 问题编号: ALPS05656488.
CVE-2021-0904||在SRAMROM中，由于不安全的权限设置，可能存在权限绕过。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS06076938；问题编号：ALPS06076938。
CVE-2021-0918||在gatt_cl.cc的gatt_process_notification中，由于缺少边界检查，可能存在越界写入。这可能导致通过蓝牙远程执行代码，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-12Android ID: A-197536150
CVE-2021-0919||在IServiceManager.cpp的getService中，由于整数溢出，可能存在一个未处理的异常。这可能导致本地拒绝服务，使锁屏无法使用，且不需要额外的执行权限。利用时需要用户互动。AndroidVersions:Android-10 Android-11 Android-9Android ID: A-197336441
CVE-2021-0920||在af_unix.c的unix_scm_to_skb中，由于存在竞赛条件，可能存在自由后使用的错误。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。安卓版本。Android kernelAndroid ID: A-196926917参考文献。上游内核
CVE-2021-0921||在ParsingPackageImpl.java的ParsingPackageImpl中，由于输入验证不当，可能存在包裹序列化/反序列化不匹配。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-195962697
CVE-2021-0922||在PackageManagerService.java的enforceCrossUserOrProfilePermission中，由于缺少权限检查，可能存在绕过INTERACT_ACROSS_PROFILES权限的问题。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-195630721
CVE-2021-0923||在Permission.java的createOrUpdate中，由于缺少权限检查，有可能获得内部权限。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-12Android ID: A-195338390
CVE-2021-0924||在xhci.c的xhci_vendor_get_ops中，由于缺少边界检查，可能存在越界读取。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android内核Android ID: A-194461020参考文献。上游内核
CVE-2021-0925||在rw_t4t.cc的rw_t4t_sm_detect_ndef中，由于边界检查不正确，可能存在越界读取。这可能导致远程信息泄露，因为基于界外数据的有限行为变化，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-12Android ID: A-191444150
CVE-2021-0926||在NfcImportVCardActivity.java的onCreate中，由于缺少权限检查，有可能在未经用户同意的情况下添加一个联系人。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-10 Android-11 Android-12 Android-9Android ID: A-191053931
CVE-2021-0927||在TvInputManagerService.java的requestChannelBrowsable中，由于代码中存在逻辑错误，可能存在权限绕过。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-10 Android-11 Android-12 Android-8.1 Android-9Android ID: A-189824175
CVE-2021-0928||在OutputConfiguration.java的createFromParcel中，由于输入验证不当，可能存在包裹序列化/反序列化不匹配。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-10 Android-11 Android-9Android ID: A-188675581
CVE-2021-0929||在ion.c的ion_dma_buf_end_cpu_access和相关函数中，由于free后使用，有可能导致内存损坏。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。安卓版本。Android kernelAndroid ID: A-187527909参考文献。上游内核
CVE-2021-0930||在phNxpNciHal_process_ext_rsp的phNxpNciHal_ext.cc中，由于缺少边界检查，可能存在越界写入。这可能导致通过NFC远程执行代码，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-10 Android-11 Android-12 Android-9Android ID: A-181660091
CVE-2021-0931||在BluetoothDevice.java的getAlias中，由于缺少数据过滤，有可能创建误导的权限对话框。这可能导致本地信息泄露，需要用户执行权限。利用时需要用户互动。产品。AndroidVersions:Android-10 Android-11 Android-12 Android-9Android ID: A-180747689
CVE-2021-0932||在NavigationModeController.java的showNotification中，由于不安全的PendingIntent，可能存在一个混乱的副手。这可能导致本地权限升级，允许在需要用户执行权限的情况下作为系统用户界面进行操作。用户互动是不需要利用的。产品。AndroidVersions:Android-10Android ID: A-173025705
CVE-2021-0933||在CompanionDeviceActivity.java或DeviceChooserActivity.java的onCreate中，由于输入验证不当，HTML标签有可能干扰同意对话框。这可能导致远程权限升级，混淆用户，使其接受恶意蓝牙设备的配对，而不需要额外的执行权限。利用时需要用户互动。产品。安卓版本。Android-10 Android-11 Android-12 Android-9Android ID: A-172251622
CVE-2021-0934||在accountsDb.java的findAllDeAccounts中，由于资源耗尽，可能存在拒绝服务。这可能导致本地拒绝服务，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-10 Android-11 Android-12 Android-12L Android-13Android ID: A-169762606
CVE-2021-0935||在ip6_output.c的ip6_xmit中，由于free后使用，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓版本。Android kernelAndroid ID: A-168607263参考文献。上游内核
CVE-2021-0936||在f_accessory.c的acc_read中，由于free后使用，可能存在内存损坏。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android kernelAndroid ID: A-173789633参考文献。上游内核
CVE-2021-0938||在compiler-clang.h的memzero_explicit中，由于未初始化数据，可能存在绕过深度防御的情况。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android kernelAndroid ID: A-171418586参考文献。上游内核
CVE-2021-0939||在passthru.c的set_default_passthru_cfg中，由于缺少边界检查，可能存在越界读取。这可能导致本地信息泄露，需要系统执行权限。利用时不需要用户互动。产品。安卓版本。Android kernelAndroid ID: A-186026549References:不适用
