CVE-2021-22400||部分华为智能手机由于缺乏参数验证，存在输入验证不足的漏洞。攻击者可能欺骗用户安装一个恶意的APP。该应用程序可以修改特定参数，导致系统崩溃。Affected product include:OxfordS-AN00A 10.0.1.10(C00E10R1P1),10.0.1.105(C00E103R3P3),10.0.1.115(C00E110R3P3),10.0.1.123(C00E121R3P3),10.0.1.135(C00E130R3P3),10.0.1.135(C00E130R4P1),10.0.1.152(C00E140R4P1),10.0.1.160(C00E160R4P1),10.0.1.167(C00E166R4P1),10.0.1.173(C00E172R5P1),10.0.1.178(C00E175R5P1) and 10.1.0.202(C00E79R5P1).
CVE-2021-24197||3.4.2之前的wpDataTables - Tables & Table Charts premium WordPress插件有不当的访问控制。一个低权限的认证用户在访问发布表格的页面时，可以通过formdata[wdt_ID]参数接管该表格的用户权限，从而篡改参数，访问存在于同一表格中的另一个用户的数据。通过利用这个问题，攻击者能够访问和管理同一表中的所有用户的数据。
CVE-2021-24198||3.4.2之前的wpDataTables - Tables & Table Charts premium WordPress插件有不当的访问控制。一个低权限的认证用户在访问发布表格的页面时，可以通过id_key和id_val参数篡改参数，删除存在于同一表格中的另一个用户的数据。通过利用这个问题，攻击者能够删除同一表中的所有用户的数据。
CVE-2021-24199||3.4.2之前的wpDataTables - Tables & Table Charts premium WordPress插件允许低权限的认证用户在表列表页面的端点/wp-admin/admin-ajax.php?action=get_wdtable&table_id=1，在'start'HTTP POST参数上执行基于布尔值的盲SQL注入。这允许攻击者访问数据库中的所有数据并获得对WordPress应用程序的访问。
CVE-2021-2420||Oracle Fusion Middleware的Oracle Outside In Technology产品（组件：Outside In Filters）中存在漏洞。受影响的支持版本是8.5.5。容易被利用的漏洞允许未经认证的攻击者通过HTTP的网络访问来破坏Oracle Outside In Technology。成功攻击该漏洞可导致未经授权的能力，导致Oracle Outside In Technology的挂起或经常重复崩溃（完全DOS）。注意：Outside In Technology是一套软件开发工具包（SDK）。协议和CVSS基础得分取决于使用Outside In Technology的软件。CVSS评分假定软件将通过网络收到的数据直接传递给Outside In Technology，但如果没有通过网络收到数据，CVSS评分可能会更低。CVSS 3.1基础得分7.5（可用性影响）。CVSS向量：（CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H）。
CVE-2021-24200||3.4.2之前的wpDataTables - Tables & Table Charts premium WordPress插件允许低权限的认证用户在表列表页面的端点/wp-admin/admin-ajax.php?action=get_wdtable&table_id=1，对'length'HTTP POST参数执行基于布尔的盲目SQL注入。这允许攻击者访问数据库中的所有数据并获得对WordPress应用程序的访问。
CVE-2021-24201||在3.1.4之前的Elementor Website Builder WordPress插件中，列元素（includes/elements/column.php）接受一个 "html_tag "参数。虽然元素控制列出了一套固定的可能的HTML标签，但具有贡献者或以上权限的用户有可能发送一个修改后的 "保存_builder "请求，其中包含在 "html_tag "参数中的JavaScript，它没有被过滤，并且在输出时没有转义。当保存的页面被查看或预览时，这个JavaScript将被执行。
CVE-2021-24202||在3.1.4之前的Elementor Website Builder WordPress插件中，标题小部件（includes/widgets/heading.php）接受一个 "header_size "参数。虽然元素控制列出了一套固定的可能的HTML标签，但具有贡献者或以上权限的用户有可能发送一个修改过的'save_builder'请求，该参数设置为'script'并与包含JavaScript的'title'参数相结合，然后在查看或预览保存的页面时执行。
CVE-2021-24203|||在3.1.4之前的Elementor Website Builder WordPress插件中，分隔器小部件（includes/widgets/divider.php）接受一个'html_tag'参数。虽然元素控制列出了一套固定的可能的html标签，但拥有贡献者或以上权限的用户有可能发送一个修改过的'save_builder'请求，将该参数设置为'script'，并与包含JavaScript的'text'参数相结合，然后在查看或预览保存的页面时执行。
CVE-2021-24204||在3.1.4之前的Elementor Website Builder WordPress插件中，手风琴部件（includes/widgets/accordion.php）接受一个'title_html_tag'参数。虽然元素控制列出了一套固定的可能的html标签，但具有贡献者或以上权限的用户有可能发送一个修改过的'save_builder'请求，在'title_html_tag'参数中包含JavaScript，该参数没有被过滤，并且没有转义就被输出。当保存的页面被查看或预览时，这个JavaScript将被执行。
CVE-2021-24205||在3.1.4之前的Elementor Website Builder WordPress插件中，图标框小工具（includes/widgets/icon-box.php）接受'title_size'参数。虽然元素控制列出了一套固定的可能的HTML标签，但具有贡献者或以上权限的用户有可能发送一个修改的'save_builder'请求，其中'title_size'参数中包含JavaScript，该参数没有被过滤，并且没有转义就被输出。在查看或预览保存的页面时，这个JavaScript将被执行。
CVE-2021-24206||在3.1.4之前的Elementor Website Builder WordPress插件中，图像框部件（includes/widgets/image-box.php）接受 "title_size "参数。虽然元素控制列出了一套固定的可能的HTML标签，但具有贡献者或以上权限的用户有可能发送一个修改的'save_builder'请求，其中'title_size'参数中包含JavaScript，该参数没有被过滤，并且没有转义就被输出。在查看或预览保存的页面时，这个JavaScript将被执行。
CVE-2021-24207|||默认情况下，1.2.4之前的WP Page Builder WordPress插件允许订阅者级别的用户编辑和修改任何及所有帖子页面--必须特别阻止用户角色编辑帖子和页面。
CVE-2021-24208||1.2.4之前的WP Page Builder WordPress插件的编辑器允许较低权限的用户编辑和更改任何帖子页面。4允许较低权限的用户通过 "Raw HTML "小部件和 "Custom HTML "小部件在页面中插入未经过滤的HTML，包括JavaScript（尽管Custom HTML小部件需要发送一个精心制作的请求--看起来这个小部件使用了某种形式的客户端验证，但没有使用服务器端验证），所有这些都是在执行 "wppb_page_save "AJAX动作时通过 "page_builder_data "参数添加的。在执行 "wppb_page_save "AJAX操作时，也有可能通过 "wppb_page_css "参数插入恶意的JavaScript（可以通过关闭样式标签并打开脚本标签来实现）。
CVE-2021-24209||WP Super Cache WordPress插件在1.7.2之前，由于WP Super Cache Settings -> Cache Location选项中的输入验证失败和弱的$cache_path检查，在设置页面受到认证（admin+）RCE影响。直接访问wp-cache-config.php文件没有被禁止，所以这个漏洞可以被利用来进行web shell注入。
CVE-2021-2421||Oracle PeopleSoft Enterprise CS Campus Community产品中的漏洞（组件：集成和接口）。受影响的支持版本是9.0和9.2。容易被利用的漏洞允許通過HTTP訪問網絡的低權限攻擊者控制PeopleSoft Enterprise CS Campus Community。对该漏洞的成功攻击可导致对关键数据的未授权访问或对所有PeopleSoft Enterprise CS Campus Community可访问数据的完全访问。CVSS 3.1基础得分6.5（保密性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N)。
CVE-2021-24210||在1.111之前的PhastPress WordPress插件中存在一个开放的重定向，允许攻击者通过该插件对页面进行畸形的请求，然后将受害者重定向到一个恶意页面。还有一年前另一个用户的支持评论（https://wordpress.org/support/topic/phast-php-used-for-remote-fetch/）说，参与请求的php只去白名单页面，但有可能将受害者重定向到任何域。
CVE-2021-24211||通过3.6.4的WordPress相关帖子插件在设置页面的标题字段中包含一个验证的（管理员+）存储XSS漏洞。通过利用该漏洞，攻击者可以在用户的浏览器中执行JavaScript代码。
CVE-2021-24212||2.9.1之前的WooCommerce Help Scout WordPress插件(https://woocommerce.com/products/woocommerce-help-scout/)允许未经认证的用户上传任何文件到网站，这些文件默认会在wp-content/uploads/hstmp中结束。
CVE-2021-24213||2.10.0之前的GiveWP "捐赠插件和筹款平台 "WordPress插件受管理面板内反映的跨站脚本漏洞影响，该漏洞通过捐赠者页面的's'GET参数进行。
CVE-2021-24214||OpenID Connect Generic Client WordPress插件3.8.0和3.8.1在登录表单中输出时没有对登录错误进行处理，导致反映的跨站脚本问题。这个问题不需要认证，可以用默认配置利用。
CVE-2021-24215|||在1.5.2之前的受控管理访问WordPress插件中发现一个不当访问控制漏洞。不受控制地访问网站定制功能和全局CMS设置，如/wp-admin/customization.php和/wp-admin/options.php，可能导致目标资源被完全破坏。
CVE-2021-24216|||7.41之前的All-in-One WP Migration WordPress插件没有验证上传文件的扩展名，这使得管理员可以在他们的网站上上传PHP文件，甚至在多站点安装中也是如此。
CVE-2021-24217||3.0.0之前的Facebook for WordPress插件的run_action函数对用户提供的数据进行反序列化，使得提供的PHP对象有可能产生对象注入漏洞。该插件中还有一个可使用的魔法方法，可用于实现远程代码执行。
CVE-2021-24218||3.0.4之前的Facebook for WordPress插件的wp_ajax_save_fbe_settings和wp_ajax_delete_fbe_settings AJAX动作，由于缺乏nonce保护，容易受到CSRF攻击。saveFbeSettings函数中的设置没有经过消毒处理，允许保存脚本标签。
CVE-2021-24219||1.4.13.3之前的Thrive Optimize WordPress插件、1.4.15.3之前的Thrive Comments WordPress插件、1.3.7.3之前的Thrive Headline Optimizer WordPress插件、2.3.9.4之前的Thrive Leads WordPress插件、2.3.9.4之前的Thrive Ultimatum WordPress插件、2.3.9.4之前，Thrive Apprentice WordPress插件在2.3.9.4之前，Thrive Visual Editor WordPress插件在2.6.7.4之前，Thrive Dashboard WordPress插件在2.3.9.3之前，Thrive Ovation WordPress插件在2.4.5之前，Thrive Clever Widgets WordPress插件在1.57.1之前和Rise by Thrive Themes WordPress主题在2.0.0之前，Ignition by Thrive Themes WordPress主题在2.0.0之前，Luxe by Thrive Themes WordPress主题在2.0.0之前，FocusBlog by Thrive Themes WordPress主题在2.0.0之前，Minus by Thrive Themes WordPress主题在2.0.0之前， Squared by Thrive Themes WordPress主题在2.0.0之前，Voice WordPress主题在2.0.0之前，Performag by Thrive Themes WordPress主题在2.0.0之前，Pressive by Thrive Themes WordPress主题在2.0.0之前，Storied by Thrive Themes WordPress主题在2.0.0之前，Thrive Themes Builder WordPress主题在2.2.4之前注册一个与Zapier功能相关的REST API端点。虽然这个端点的目的是需要一个API密钥才能访问，但在脆弱的版本中，如果没有启用Zapier，就有可能通过提供一个空的api_key参数来访问它。攻击者可以利用这个端点向wp_options表中的预定义选项添加任意数据。
CVE-2021-2422||Oracle MySQL的MySQL Server产品中存在漏洞（组件：服务器：PS）。受影响的支持版本为8.0.25及之前的版本。容易被利用的漏洞允许具有网络访问权的高权限攻击者通过多种协议破坏MySQL服务器。成功攻击该漏洞可导致未经授权的能力，导致MySQL服务器挂起或经常重复崩溃（完全DOS）。CVSS 3.1基本得分4.9（可用性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H)。
CVE-2021-24220||Thrive "Legacy" Rise by Thrive Themes WordPress theme before 2.0.0, Luxe by Thrive Themes WordPress theme before 2.0.0, Minus by Thrive Themes WordPress theme before 2.0.0, Ignition by Thrive Themes WordPress theme before 2.0.0, FocusBlog by Thrive Themes WordPress theme before 2．0之前的Squared by Thrive Themes WordPress主题，2.0.0之前的Voice WordPress主题，2.0.0之前的Performag by Thrive Themes WordPress主题，2.0.0之前的Pressive by Thrive Themes WordPress主题，2.0.0之前的Storied by Thrive Themes WordPress主题注册一个REST API端点，使用Kraken图像优化引擎压缩图像。通过提供一个精心制作的请求，结合使用选项更新漏洞插入的数据，有可能使用这个端点从远程URL检索恶意代码，并用它覆盖网站上的现有文件或创建一个新文件。这包括包含恶意代码的可执行PHP文件。
CVE-2021-24221||The Quiz And Survey Master â€" Best Quiz, Exam and Survey Plugin for WordPress plugin before 7.1.12 did not sanitise the result_id GET parameter on pages with the [qsm_result] shortcode without id attribute, concatenating it in a SQL statement and lead to an SQL injection.允许在帖子或页面中使用此短码的最低角色是作者，这样的用户可以获得对DBMS的未经授权的访问。如果该短码（没有id属性）被嵌入到一个公开的页面或帖子中，那么未经认证的用户可以利用该注入。
CVE-2021-24222||WP-Curriculo Vitae Free WordPress插件在嵌入[formCadastro]的页面中存在任意文件上传问题。该表单允许未经认证的用户注册并提交他们的个人照片和简历文件，没有任何文件扩展名限制，导致RCE。
CVE-2021-24223||N5 Upload Form WordPress插件1.0版存在任意文件上传问题，该插件中的Form被嵌入的页面可以上传任何文件。上传的文件名可能很难猜测，因为它是用md5(uniqid(rand())生成的，但是，在启用了目录列表的错误配置的服务器中，访问它是很容易的。
CVE-2021-24224||Easy Form Builder WordPress插件的EFBP_verify_upload_file AJAX动作在1.0之前可供认证用户使用，没有任何安全措施来验证上传文件，允许低权限用户上传任意文件，导致RCE。
CVE-2021-24225||1.6.7之前的Advanced Booking Calendar WordPress插件在 "Seasons & Calendars "页面中输出A标签中的calId GET参数之前，没有对其进行消毒处理，导致反映的XSS问题。
CVE-2021-24226||在3.5.7之前的AccessAlly WordPress插件中，负责[accessally_order_form]简码的文件 "resource/frontend/product/product-shortcode.php "正在转储serialize($_SERVER)，其中包含所有环境变量。泄漏发生在所有包含[accessally_order_form]简码的公共页面，不需要登录或管理员角色。
CVE-2021-24227||Jetpack扫描团队在1.7.0之前的Patreon WordPress插件中发现了一个本地文件泄露漏洞，任何访问该网站的人都可以滥用。利用这个攻击媒介，攻击者可以泄露重要的内部文件，如wp-config.php，其中包含数据库凭证和用于生成nonces和cookies的加密密钥。
CVE-2021-24228||Jetpack扫描团队在1.7.2之前的Patreon WordPress插件的登录表格中发现了一个反射式跨站脚本攻击。WordPress的登录表格（wp-login.php）被该插件钩住，并提供允许用户使用他们的Patreon账户在网站上进行认证。不幸的是，幕后的一些错误记录逻辑允许用户控制的输入反映在登录页面上，没有经过消毒处理。
CVE-2021-24229||Jetpack扫描团队通过1.7.2之前的Patreon WordPress插件的patreon_save_attachment_patreon_level AJAX动作发现了一个反射式跨站脚本。该AJAX钩子用于更新Patreon订阅者访问特定附件所需的认捐级别。具有 "manage_options "权限的用户账户（即，只有管理员）可以访问这个动作。不幸的是，在这个AJAX端点中使用的一个参数在打印回给用户之前没有经过处理，所以它所代表的风险与之前的XSS漏洞是一样的。
Oracle Fusion Middleware的Oracle Outside In Technology产品（组件：Outside In Filters）中存在漏洞。受影响的支持版本为8.5.5。容易被利用的漏洞允许未认证的攻击者通过HTTP的网络访问来破坏Oracle Outside In Technology。成功攻击该漏洞可导致未经授权的能力，造成Oracle Outside In Technology的挂起或经常重复的崩溃（完全DOS）。注意：Outside In Technology是一套软件开发工具包（SDK）。协议和CVSS基础得分取决于使用Outside In Technology的软件。CVSS得分假定软件将通过网络收到的数据直接传递给Outside In Technology，但如果没有通过网络收到数据，CVSS得分可能会更低。CVSS 3.1基础得分7.5（可用性影响）。CVSS向量：（CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H）。
CVE-2021-24230||Jetpack扫描团队在1.7.0之前的Patreon WordPress插件中发现一个跨站请求伪造漏洞，允许攻击者在访问受害者的账户后，使登录用户覆盖或创建任意用户元数据。如果被利用，这个漏洞可以用来覆盖 "wp_capabilities "元数据，其中包含受影响用户账户的角色和权限。这样做基本上可以将他们锁定在网站之外，阻止他们访问付费内容。
CVE-2021-24231||Jetpack扫描团队在1.7.0之前的Patreon WordPress插件中发现一个跨站请求伪造漏洞，允许攻击者通过访问特制链接使登录的管理员断开网站与Patreon的连接。
CVE-2021-24232||1.6.8之前的Advanced Booking Calendar WordPress插件在设置页面中输出许可证错误信息时没有进行处理，导致认证反映的跨站脚本问题。
CVE-2021-24233||1.7.5.6之前的Cooked Pro WordPress插件受到未经认证的反射式跨站脚本问题的影响，原因是在页面中以任意属性输出时对用户输入进行了不当的消毒。
CVE-2021-24234||4.6.1之前的Ivory Search WordPress lugin的Search Forms页面在页面中输出tab参数之前没有正确处理，导致在以高权限用户身份打开恶意制作的链接时出现反射式跨站脚本问题。进行攻击需要知道一个表单ID。
CVE-2021-24235||2.0之前的Goto WordPress主题没有对其旅游列表页面上的关键字和start_date GET参数进行处理，导致未经授权的反射式跨站脚本问题。
CVE-2021-24236||1.2.5版本的Imagements WordPress插件允许在评论中上传图片，但只检查请求中的Content-Type，禁止危险文件。这允许未经认证的攻击者通过使用有效的图像内容类型和PHP文件名及代码来上传任意文件，从而导致RCE。
CVE-2021-24237||Findeo主题使用的1.2.4之前的Realteo WordPress插件没有正确处理keyword_search, search_radius._bedrooms和_bathrooms的GET参数在其属性页中输出之前，没有正确地消毒，导致一个未经认证的反射跨站脚本问题。
CVE-2021-24238||Findeo主题使用的1.2.4之前的Realteo WordPress插件没有确保请求删除的属性属于提出请求的用户，允许任何认证的用户通过篡改property_id参数删除任意属性。
CVE-2021-24239||"馅饼注册"--用户注册表格。3.7.0.1之前的基于邀请的注册、自定义登录、支付WordPress插件在激活码页面输出invitaion_code GET参数时，没有对其进行消毒，导致反映的跨站脚本问题。
CVE-2021-2424||Oracle MySQL的MySQL Server产品中存在漏洞（组件：服务器：存储过程）。受影响的支持版本为8.0.25及之前的版本。容易被利用的漏洞允许具有网络访问权的高权限攻击者通过多种协议破坏MySQL服务器。对该漏洞的成功攻击可导致未经授权的能力，导致MySQL服务器挂起或经常重复崩溃（完全DOS）。CVSS 3.1基本得分4.9（可用性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H)。
CVE-2021-24240|||5.5.0之前的Business Hours Pro WordPress插件允许远程攻击者使用其手动更新功能上传任意文件，导致未经授权的远程代码执行漏洞。
CVE-2021-24241||5.9.1之前的Advanced Custom Fields Pro WordPress插件在属性中输出生成的更新URL时，没有正确转义，导致更新设置页面中出现反映的跨站脚本问题。
CVE-2021-24242||Tutor LMS â€" eLearning and online course solution WordPress插件在1.8.8之前受到本地文件包含漏洞的影响，该插件的Tools的sub_page参数被恶意构建，允许高权限用户包含任何本地php文件。
CVE-2021-24243||WPBakery Page Builder (Visual Composer) Clipboard WordPress插件在4.5.6之前注册的AJAX动作没有能力检查也没有消毒，允许低权限用户（subscriber+）调用它并设置XSS有效载荷，这将在所有后端页面触发。
CVE-2021-24244||WPBakery Page Builder (Visual Composer) Clipboard WordPress插件在4.5.8之前注册的AJAX动作没有能力检查，允许低权限用户（如订阅者）更新许可证选项（密钥、电子邮件）。
CVE-2021-24245||2021.9之前的Stop Spammers WordPress插件在阻止请求时没有转义用户输入（如匹配一个垃圾邮件词），在对其进行净化以移除HTML标签后，在一个属性中输出，这是不充分的，导致反映的跨网站脚本问题。
CVE-2021-24246||WorkScout主题使用的Workscout Core WordPress插件在1.3.4之前没有对通过workscout_send_message_chat AJAX动作发送的聊天信息进行消毒，导致存储跨站脚本和跨框架脚本问题。
CVE-2021-24247||通过1.0.2的Contact Form Check Tester WordPress插件的设置对仪表板上的所有注册用户可见，并且缺乏任何消毒措施。因此，任何注册用户，如订阅者，都可以在插件设置中留下XSS有效载荷，任何用户访问它们都会触发，并可能允许权限升级。供应商决定关闭该插件。
CVE-2021-24248||商业目录插件 - Easy Listing Directories for WordPress WordPress插件在5.11.1之前没有正确检查导入的文件，通过黑名单的方式禁止某些扩展，例如允许管理员导入内含.php4的档案，导致RCE。
CVE-2021-24249||商业目录插件 - Easy Listing Directories for WordPress WordPress插件在5.11.2之前存在跨站请求伪造问题，允许攻击者让登录的管理员导出文件，然后攻击者可以下载这些文件以获取PII，如电子邮件、家庭住址等。
CVE-2021-2425||甲骨文MySQL服务器产品中的漏洞（组件：服务器：优化器）。受影响的支持版本为8.0.25及之前的版本。容易被利用的漏洞允许具有网络访问权的高权限攻击者通过多种协议破坏MySQL服务器。成功攻击该漏洞可导致未经授权的能力，导致MySQL服务器挂起或经常重复崩溃（完全DOS）。CVSS 3.1基本得分4.9（可用性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H)。
CVE-2021-24250||商业目录插件 - Easy Listing Directories for WordPress WordPress插件在5.11.2之前由于缺乏对表单字段标签的处理，导致该插件的多个页面出现验证存储的跨站脚本问题。
CVE-2021-24251||The Business Directory Plugin â€" Easy Listing Directories for WordPress WordPress插件在5.11.2之前存在跨站请求伪造问题，允许攻击者使登录的管理员更新任意的支付历史，如改变他们的状态（从待定到完成的例子）。
CVE-2021-24252||事件横幅WordPress插件通过1.3没有验证上传的图像文件，允许管理员账户上传任意文件，如.exe，.php，或其他可执行文件，导致RCE。由于缺乏CSRF检查，该问题也可以通过此类载体来实现相同的结果，或者通过LFI，因为授权检查缺失（但需要加载WP）。
CVE-2021-24253||3.8版本的Classyfrieds WordPress插件在认证用户添加列表时没有正确检查上传的文件，只在请求中检查内容类型。这允许任何认证用户通过该插件的添加列表功能上传任意的PHP文件，导致RCE。
CVE-2021-24254||学院出版商导入WordPress插件通过0.1没有检查上传的CSV文件来导入，允许高权限用户上传任意文件，如PHP，导致RCE。由于缺乏CSRF检查，该问题也可以通过CSRF攻击来利用。
CVE-2021-24255||4.5.4之前的Elementor Lite WordPress插件的基本插件有两个小工具，容易被低权限用户（如贡献者）存储跨站脚本（XSS），都是通过类似方法。
CVE-2021-24256||"Elementor - Header, Footer & Blocks Template "WordPress插件在1.5.8之前有两个小工具，容易被较低权限的用户（如贡献者）存储跨站脚本（XSS），都是通过类似方法。
CVE-2021-24257||"Premium Addons for Elementor "WordPress插件在4.2.8之前有几个小部件容易被低权限用户（如投稿人）存储跨站脚本（XSS），都是通过类似方法。
CVE-2021-24258||2.2.0之前的Elements Kit Lite和Elements Kit Pro WordPress插件有一些小部件容易被低权限用户（如撰稿人）存储跨站脚本（XSS），都是通过类似的方法。
CVE-2021-24259||1.11.2之前的 "Elementor Addon Elements "WordPress插件有几个小工具容易被低权限用户（如撰稿人）存储跨站脚本（XSS），都是通过类似方法。
CVE-2021-2426||Oracle MySQL的MySQL Server产品中存在漏洞（组件：服务器：优化器）。受影响的支持版本为8.0.25及之前的版本。容易被利用的漏洞允许具有网络访问权的高权限攻击者通过多种协议破坏MySQL服务器。成功攻击该漏洞可导致未经授权的能力，导致MySQL服务器挂起或经常重复崩溃（完全DOS）。CVSS 3.1基本得分4.9（可用性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H)。
CVE-2021-24260||6.8之前的 "Livemesh Addons for Elementor "WordPress插件有几个小工具容易被低权限用户（如投稿人）存储跨站脚本（XSS），都是通过类似方法。
CVE-2021-24261||"HT Mega - Absolute Addons for Elementor Page Builder "WordPress插件在1.5.7之前有几个小部件容易被较低权限的用户（如贡献者）存储跨站脚本（XSS），都是通过类似方法。
CVE-2021-24262||"WooLentor - WooCommerce Elementor Addons + Builder "WordPress插件在1.8.6之前有一个小工具，容易被较低权限的用户（如贡献者）存储跨站脚本（XSS），都是通过类似的方法。
CVE-2021-24263||"Elementor Addons - PowerPack Addons for Elementor "WordPress插件在2.3.2之前有几个小部件容易被较低权限的用户（如撰稿人）存储跨站脚本（XSS），都是通过类似方法。
CVE-2021-24264||"Image Hover Effects - Elementor Addon "WordPress插件在1.3.4之前有一个小工具，容易被较低权限的用户（如撰稿人）通过类似方法存储跨站脚本（XSS）。
CVE-2021-24265||1.1.6之前的 "Rife Elementor Extensions & Templates "WordPress插件有一个小工具，容易被较低权限的用户（如投稿人）通过类似方法存储跨站脚本（XSS）。
CVE-2021-24266||"The Plus Addons for Elementor Page Builder Lite "WordPress插件在2.0.6之前有四个小工具，容易被低权限用户（如投稿者）通过类似的方法存储跨站脚本（XSS）。
CVE-2021-24267||"All-in-One Addons for Elementor - WidgetKit" WordPress插件在2.3.10之前有几个小工具容易被低权限用户（如贡献者）存储跨站脚本（XSS），都是通过类似方法。
CVE-2021-24268||1.0.9之前的 "JetWidgets For Elementor "WordPress插件有几个小部件容易被低权限用户（如贡献者）存储跨站脚本（XSS），所有这些都是通过类似的方法。
CVE-2021-24269||3.3.12之前的 "Sina Extension for Elementor "WordPress插件有几个小工具容易被低权限用户（如投稿者）存储跨站脚本（XSS），所有这些都是通过类似的方法。
CVE-2021-2427||Oracle MySQL的MySQL Server产品中存在漏洞（组件：服务器：优化器）。受影响的支持版本为8.0.25及之前的版本。容易被利用的漏洞允许具有网络访问权的高权限攻击者通过多种协议破坏MySQL服务器。成功攻击该漏洞可导致未经授权的能力，导致MySQL服务器挂起或经常重复崩溃（完全DOS）。CVSS 3.1基本得分4.9（可用性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H)。
CVE-2021-24270||"DeTheme Kit for Elementor "WordPress插件在1.5.5.5之前有一个小部件，容易被低权限用户（如投稿人）存储跨站脚本（XSS），都是通过类似方法。
CVE-2021-24271||"Ultimate Addons for Elementor "WordPress插件在1.30.0之前有几个小部件容易被低权限用户（如投稿人）存储跨站脚本（XSS），所有这些都是通过类似的方法。
CVE-2021-24272||1.9.6之前的健身计算器WordPress插件增加了水摄入量、BMI计算器、蛋白质摄入量和体脂的计算器，并缺乏CSRF检查，允许攻击者使登录用户执行不需要的操作，如改变计算器的标题。由于缺乏清理，这也可能导致存储的跨站脚本问题。
CVE-2021-24273||"Clever Addons for Elementor "WordPress插件在2.1.0之前有几个小工具容易被低权限用户（如投稿人）存储跨站脚本（XSS），都是通过类似方法。
CVE-2021-24274||1.2.5之前的Ultimate Maps by Supsystic WordPress插件在输出属性之前没有对其选项页的tab参数进行消毒，导致反映的跨站脚本问题。
CVE-2021-24275||1.10.5之前的Popup by Supsystic WordPress插件在将选项页的tab参数输出到属性中之前，没有对其进行消毒处理，导致反映的跨站脚本问题。
CVE-2021-24276||Supsystic WordPress插件在1.7.15之前没有对其选项页面的tab参数进行消毒处理，然后将其输出到一个属性中，导致反映的跨站脚本问题。
CVE-2021-24277||1.30之前的RSS for Yandex Turbo WordPress插件在将用户输入的信息输出到页面之前，没有对其进行正确的消毒处理，导致认证存储的跨站脚本问题。
CVE-2021-24278||在2.3.4之前的Redirection for Contact Form 7 WordPress插件中，未经认证的用户可以使用wpcf7r_get_nonce AJAX动作来检索任何WordPress动作/功能的有效nonce。
CVE-2021-24279||在2.3.4之前的Redirection for Contact Form 7 WordPress插件中，低级别的用户，例如订阅者，可以使用import_from_debug AJAX动作来安装WordPress仓库中的任何插件。
CVE-2021-2428||Oracle Fusion Middleware的Oracle Coherence产品（组件：Core）存在漏洞。受影响的支持版本为12.1.3.0.0、12.2.1.3.0、12.2.1.4.0和14.1.1.0.0。难以利用的漏洞允许未经认证的攻击者通过T3、IIOP进行网络访问，从而破坏Oracle Coherence。对该漏洞的成功攻击可导致对Oracle Coherence的接管。CVSS 3.1基础得分8.1（保密性、完整性和可用性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H)。
CVE-2021-24280|||在2.3.4之前的Redirection for Contact Form 7 WordPress插件中，任何经过验证的用户，例如订阅者，可以使用import_from_debug AJAX动作来注入PHP对象。
CVE-2021-24281||在2.3.4之前的Redirection for Contact Form 7 WordPress插件中，任何认证用户（如订阅者）可使用delete_action_post AJAX动作删除目标网站上的任何帖子。
CVE-2021-24282||在2.3.4之前的Redirection for Contact Form 7 WordPress插件中，任何认证的用户，如订阅者，可以使用该插件中的各种AJAX动作来做各种事情。例如，攻击者可以使用wpcf7r_reset_settings重置插件的设置，wpcf7r_add_action向表单添加动作，等等。
CVE-2021-24283||设置页面的tab GET参数在以HTML属性输出时没有经过处理或转义，导致反射式XSS问题。
CVE-2021-24284||Kaswara Modern VC Addons WordPress插件在3.0.1版本中允许通过 "uploadFontIcon "AJAX动作进行未经认证的任意文件上传。提供的压缩文件在wp-content/uploads/kaswara/fonts_icon目录下被解压，但没有检查恶意文件，如PHP。
CVE-2021-24285||卖车人-汽车分类脚本WordPress插件的request_list_request AJAX调用，可供认证和非认证用户使用，在SQL语句中使用order_id POST参数之前，没有对其进行消毒、验证或转义，导致SQL注入问题。
CVE-2021-24286||在1.3.1之前，重定向404到父WordPress插件的设置页面在输出tab参数之前没有正确地处理它，导致反映的跨网站脚本问题。
CVE-2021-24287||1.3.2之前的Select All Categories and Taxonomies, Change Checkbox to Radio Buttons WordPress插件的设置页面在输出tab参数之前没有正确地进行处理，导致反映的跨站脚本问题。
CVE-2021-24288|||当使用AcyMailing订阅时，"重定向 "参数没有被正确处理。将请求从POST转为GET，攻击者可以制作一个包含潜在的恶意登陆页面的链接，并将其发送给受害者。
