CVE-2019-19220||BMC Control-M/Agent 7.0.00.000允许操作系统命令注入（问题2）。
CVE-2019-20686||某些NETGEAR设备受到未经授权的攻击者的缓冲区溢出的影响。这影响了1.1.00.36之前的D6200、1.0.1.74之前的D7000、1.0.1.18之前的JR6150、1.0.0.28之前的PR2000、1.0.0.40之前的R6020、1.0.0.40之前的R6080、1.0.1之前的R6050。18、1.0.0.48之前的R6120、1.1.0.86之前的R6220、1.1.0.64之前的R6260、1.2.0.36之前的R6700v2、1.2.0.36之前的R6800、1.2.0.36之前的R6900v2，以及1.1.0.62之前的WNR2020。
CVE-2019-20687||某些NETGEAR设备受到拒绝服务的影响。这影响到1.1.00.34之前的D6200，1.0.1.70之前的D7000，1.0.1.18之前的JR6150，1.0.1.18之前的R6050，以及1.1.0.62之前的WNR2020。
CVE-2019-20688||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.0.75之前的D3600，1.0.0.75之前的D6000，1.0.0.63之前的D6100，1.0.1.48之前的EX2700，1.0.1.76之前的EX6100v2，1.0.1.76之前的EX6150v2。0.1.76之前，EX6200v2在1.0.1.72之前，EX6400在1.0.2.136之前，EX7300在1.0.2.136之前，EX8000在1.0.1.180之前，R7800在1.0.2.52之前，R8900在1。0.4.2之前, R9000在1.0.4.2之前, WN2000RPTv3在1.0.1.32之前, WN3000RPv2在1.0.0.68之前, WN3100RPv2在1.0.0.60之前, WNDR3700v4在1.0.2.102、1.0.2.104之前的WNDR4300v1、1.0.0.58之前的WNDR4300v2、1.0.0.58之前的WNDR4500v3、1.0.0.68之前的WNR2000v5，以及2.3.2.32之前的XR500。
CVE-2019-20689||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.0.75之前的D6000、1.0.0.63之前的D6100、1.0.1.48之前的EX2700、1.0.1.76之前的EX6100v2、1.0.1.76之前的EX6150v2。76, 1.0.1.72之前的EX6200v2, 1.0.2.136之前的EX6400, 1.0.2.136之前的EX7300, 1.0.1.180之前的EX8000, 1.0.2.52之前的R7800, 1.0.2.2之前的R8900。4.2, 1.0.4.2之前的R9000, 1.0.1.32之前的WN2000RPTv3, 1.0.0.68之前的WN3000RPv2, 1.0.0.60之前的WN3100RPv2, 1.0.2之前的WNDR3700v4。102、1.0.2.104之前的WNDR4300v1、1.0.0.58之前的WNDR4300v2、1.0.0.58之前的WNDR4500v3、1.0.0.68之前的WNR2000v5，以及2.3.2.32之前的XR500。
CVE-2019-2069||在libxaac中，由于缺少边界检查，可能存在越界写入的问题。这可能导致远程代码执行，不需要额外的执行权限。利用时需要用户互动。产品。安卓版本。Android-10Android ID: A-117832864
CVE-2019-20690||某些NETGEAR设备受到认证绕过的影响。这影响了1.1.00.30之前的D6200、1.0.1.66之前的D7000、1.0.0.34之前的R6020、1.0.0.34之前的R6080、1.0.0.44之前的R6120、1.1.0.68之前的R6220、1.1.0.54之前的WNR2020和1.1.0.54之前的WNR614。
CVE-2019-20691||某些NETGEAR设备受CSRF影响。这影响了1.0.0.72之前的D3600，1.0.0.72之前的D6000，1.0.0.70之前的EX3700，1.0.0.70之前的EX3800，1.0.0.30之前的EX6000，1.0.2之前的EX6100。24、1.0.0.40之前的EX6120、1.0.0.22之前的EX6130、1.0.0.42之前的EX6150v1、1.0.3.88之前的EX6200、1.0.0.66之前的EX7000，以及1.0.1.54之前的WN2500RPv2。
CVE-2019-20692||某些NETGEAR设备受到未经认证的攻击者基于堆栈的缓冲区溢出的影响。这影响了1.0.0.44之前的D6220，1.0.0.78之前的D6400，1.0.0.51之前的D7000v2，1.0.3.42之前的D8500，1.0.0.110之前的DGN2200v4，1.0.0.109之前的DGND2200Bv4，1.0.0.70之前的EX3700，1.0.0.70之前的EX3800，1.0.0.70之前的EX6000。0.0.30之前的EX6100，1.0.2.24之前的EX6120，1.0.0.40之前的EX6130，1.0.0.22之前的EX6150v1，1.0.0.42之前的EX6200，1.0.3.88之前的EX7000，1.0.0.66之前的R6250，1.0.4.26之前的R6300v2，1.0.4.28之后的R6400。0.1.36之前，R6400v2在1.0.2.52之前，R6700在1.0.1.46之前，R6900在1.0.1.46之前，R7000在1.0.9.28之前，R6900P在1.3.1.44之前，R7000P在1.3.1.44之前，R7100LG在1.0.0.46之前，R7300DST在1.0.0.68之前，R7900在1。0.2.10之前，1.0.4.12之前的R8000，1.3.0.10之前的R7900P，1.3.0.10之前的R8000P，1.0.2.122之前的R8300，1.0.2.122之前的R8500，1.0.1.54之前的WN2500RPv2，1.0.1.22之前的WNDR3400v3和1.2.0.54之前的WNR3500Lv2。
CVE-2019-20693||某些NETGEAR设备因安全设置的配置不正确而受到影响。这影响到8.0.6.4之前的WAC505和8.0.6.4之前的WAC510。
CVE-2019-20694||某些NETGEAR设备受到敏感信息泄露的影响。这影响到6.0.0.48之前的GS728TP、6.0.0.48之前的GS728TPPv2、6.0.0.48之前的GS728TPv2、6.0.0.48之前的GS752TPP和6.0.0.48之前的GS752TPv2。
CVE-2019-20695||某些NETGEAR设备受到敏感信息泄露的影响。这影响到2.3.5.106之前的SRK60、2.3.5.106之前的SRR60以及2.3.5.106之前的SRS60。
CVE-2019-20696||某些NETGEAR设备受到敏感信息泄露的影响。这影响到V5.6.8.3之前的WAC505和V5.6.8.3之前的WAC510。
CVE-2019-20697||某些NETGEAR设备受到未经认证的攻击者基于堆栈的缓冲区溢出的影响。这影响到6.0.0.48之前的GS728TPPv2、6.0.0.48之前的GS728TPv2、1.0.1.4之前的GS750E、6.0.0.48之前的GS752TPP和6.0.0.48之前的GS752TPv2。
CVE-2019-20698||某些NETGEAR设备受到敏感信息泄露的影响。这影响到8.0.5.5之前的WAC505和8.0.5.5之前的WAC510。
CVE-2019-20699||某些NETGEAR设备受到未经授权的攻击者的缓冲区溢出的影响。这影响到1.6.0.4之前的GS105Ev2，1.6.0.4之前的GS105PE，1.0.0.15之前的GS408EPP，1.7.0.7之前的GS808E，1.7.0.3之前的GS908E，1.6.0.4之前的GSS108E，以及1.0.0.15之前的GSS108EPP。
CVE-2019-2070||在libxaac中，由于缺少边界检查，可能存在越界写入的问题。这可能导致远程代码执行，不需要额外的执行权限。利用时需要用户互动。产品。安卓版本。Android-10Android ID: A-117883804
CVE-2019-20700||某些NETGEAR设备受到未经认证的攻击者的基于堆栈的缓冲区溢出的影响。这影响了1.0.0.44之前的D6220、1.0.0.78之前的D6400、1.0.0.51之前的D7000v2、1.0.3.42之前的D8500、1.0.0.110之前的DGN2200v4、1.0.0.110之前的DGND2200Bv4、1.0.0.70之前的EX3700、1.0.0.70之前的EX3800、1.0.30之前的EX6000。0.0.30之前的EX6100，1.0.2.24之前的EX6120，1.0.0.40之前的EX6130，1.0.0.22之前的EX6150v1，1.0.0.42之前的EX6200，1.0.3.88之前的EX7000，1.0.0.66之前的R6250，1.0.4.26之前的R6300v2，1.0.4.28之后的R6400。0.1.36之前的R6400v2，1.0.2.52之前的R6700，1.0.1.46之前的R6900，1.0.9.28之前的R7000，1.0.2.10之前的R7900，1.0.4.12之前的R8000，1.0.2.122之前的R8300，1.0.2.122之中的R8500，1.3之前的R6900P。1.64之前，R7000P在1.3.1.64之前，R7100LG在1.0.0.46之前，R7300DST在1.0.0.68之前，R7900P在1.3.0.10之前，R8000P在1.3.0.10之前，WN2500RPv2在1.0.1.54之前，WNDR3400v3在1.0.1.22之前，WNR3500Lv2在1.2.0.54之前。
CVE-2019-20701||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.0.76之前的D3600，1.0.0.76之前的D6000，以及2.3.2.32之前的XR500。
CVE-2019-20702||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.0.76之前的D3600，1.0.0.76之前的D6000，以及2.3.2.32之前的XR500。
CVE-2019-20703||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.0.76之前的D3600，1.0.0.76之前的D6000，以及2.3.2.32之前的XR500。
CVE-2019-20704||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.0.76之前的D3600，1.0.0.76之前的D6000，以及2.3.2.32之前的XR500。
CVE-2019-20705||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.0.76之前的D3600，1.0.0.76之前的D6000，以及2.3.2.32之前的XR500。
CVE-2019-20706||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.2.60之前的R7800和2.3.2.32之前的XR500。
CVE-2019-20707||某些NETGEAR设备受到认证用户的命令注入的影响。这影响到1.0.2.60之前的R7800和2.3.2.32之前的XR500。
CVE-2019-20708||某些NETGEAR设备受到认证用户的命令注入的影响。这影响到1.0.0.76之前的D3600，1.0.0.76之前的D6000，以及2.3.2.32之前的XR500。
CVE-2019-20709||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.0.76之前的D3600，1.0.0.76之前的D6000，以及2.3.2.32之前的XR500。
CVE-2019-2071||在libxaac中，由于缺少边界检查，可能存在越界写入。这可能导致远程代码执行，不需要额外的执行权限。利用时需要用户互动。产品。安卓版本。Android-10Android ID: A-117216549
CVE-2019-20710||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.0.76之前的D3600，1.0.0.76之前的D6000，以及2.3.2.32之前的XR500。
CVE-2019-20711|||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.0.76之前的D3600，1.0.0.76之前的D6000，以及2.3.2.32之前的XR500。
CVE-2019-20712||某些NETGEAR设备受认证用户的缓冲区溢出影响。这影响到1.0.0.52之前的D6220，1.0.0.86之前的D6400，1.0.0.53之前的D7000v2，1.0.3.44之前的D8500，1.0.0.110之前的DGN2200v4，1.0.0.109之前的DGND2200Bv4。109, 1.0.4.34之前的R6250, 1.0.4.32之前的R6300v2, 1.0.1.46之前的R6400, 1.0.2.62之前的R6400v2, 1.0.2.6之前的R6700, 1.0.2.4之前的R6900, 1.3.1.64之前，R7000在1.0.9.60之前，R7000P在1.3.1.64之前，R7100LG在1.0.0.52之前，R7300DST在1.0.0.70之前，R7900在1.0.3.8之前，R7900P在1.4.1.30、1.0.4.28之前的R8000、1.4.1.30之前的R8000P、1.0.2.128之前的R8300、1.0.2.128之前的R8500、1.0.1.24之前的WNDR3400v3，以及1.2.0.56之前的WNR3500Lv2。
CVE-2019-20713||某些NETGEAR设备受到认证用户的基于堆栈的缓冲区溢出的影响。这影响了1.0.3.44之前的D8500，1.0.4.34之前的R6250，1.0.4.32之前的R6300v2，1.0.1.46之前的R6400，1.0.2.6之前的R6700，1.0.2.4之前的R6900，1.3.1.64之前的R6900P，1.0.9.42之前的R7000，1.3.1.64之前的R7100LG，1.0.0.50之前的R7300DST，1.0.0.70之前的R7900，1.0.3.8之前的R7900P，1.4.1.30之前的R8000，1.0.4.28之前的R8000P，1.4.1.30之前的R8300，1.0.2.128之前的R8500。
CVE-2019-20714||某些NETGEAR设备受存储XSS影响。这影响了1.0.0.75之前的D3600、1.0.0.75之前的D6000、1.0.1.44之前的D7800、1.0.0.58之前的DM200、1.0.3.之前的R7500v2。40，1.0.2.60之前的R7800，1.0.4.12之前的R8900，1.0.4.12之前的R9000，2.3.0.22之前的RBK20，2.3.0.22之前的RBR20，2.3.0.22之前的RBS20。22之前的RBK50，2.3.0.22之前的RBR50，2.3.0.22之前的RBS50，2.3.0.22之前的RBS40，1.0.0.68之前的WN3000RPv2，1。0.2.70之前，WN3100RPv2在1.0.0.60之前，WNDR4300v2在1.0.0.58之前，WNDR4500v3在1.0.0.58之前，WNR2000v5在1.0.0.68之前。
CVE-2019-20715||某些NETGEAR设备受存储XSS影响。这影响了1.0.0.76之前的D3600、1.0.0.76之前的D6000、1.0.0.63之前的D6100、1.0.1.47之前的D7800、1.0.0.61之前的DM200、1.0.3.40之前的R7500v2、1.0.2.60之前的R7800、2.3.0.32之前的RBK50、2.3.0.32之前的RBR50，以及2.3.0.32之外的RBS50。
CVE-2019-20716||某些NETGEAR设备受到未经认证的攻击者基于堆栈的缓冲区溢出的影响。这影响到1.0.0.110之前的DGN2200v4和1.0.0.109之前的DGND2200Bv4。
CVE-2019-20717||某些NETGEAR设备受到拒绝服务的影响。这影响到1.0.0.75之前的D3600、1.0.0.75之前的D6000、1.0.1.44之前的D7800、1.0.1.52之前的EX2700、1.0.1.74之前的EX6200v2、1.0.1.180之前的EX8000。180，1.0.3.38之前的R7500v2，1.0.2.58之前的R7800，2.3.0.28之前的RBK20，2.3.0.28之前的RBR20，2.3.0.28之前的RBS20，2.3.0.32之前的RBK50，2。3.0.32之前，RBS50在2.3.0.32之前，RBS40在2.3.0.28之前，SRK60在2.2.1.210之前，SRR60在2.2.1.210之前，SRS60在2.2.1.210之前，WN2000RPTv3在1.0。1.34之前，WN3000RPv2在1.0.0.68之前，WN3000RPv3在1.0.2.70之前，WN3100RPv2在1.0.0.60之前，WNDR4300v2在1.0.0.58之前，WNDR4500v3在1.0.0.58之前。
CVE-2019-20718||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.0.48之前的D6220、1.0.0.82之前的D6400、1.0.0.52之前的D7000v2、1.0.3.43之前的D8500、1.0.4.34之前的R6250、1.0.1.44之前的R6400、1.0.2.62之前的R6400v2、1.0.2.62之前的R7100LG。0.0.48之前的R7300DST，1.0.0.68之前的R7900，1.0.3.8之前的R7900P，1.4.1.30之前的R8000，1.0.4.28之前的R8000P，1.4.1.30之前的R8300，1.0.2.128之前的R8500。
CVE-2019-20719||某些NETGEAR设备受认证用户的缓冲区溢出影响。这影响了1.0.0.48之前的D6220，1.0.0.82之前的D6400，1.0.0.52之前的D7000v2，1.0.3.43之前的D8500，1.0.4.34之前的R6250，1.0.1.44之前的R6400，1.0.2.62之前的R6400v2，1.4.1之前的R7000P。30、1.0.0.48之前的R7100LG、1.0.0.68之前的R7300DST、1.0.3.8之前的R7900、1.4.1.30之前的R7900P、1.0.4.28之前的R8000、1.4.1.30之前的R8000P、1.0.2.128之前的R8300和1.0.2.128之后的R8500。
CVE-2019-2072||在libxaac中，由于缺少边界检查，可能存在越界写入。这可能导致远程代码执行，不需要额外的执行权限。利用时需要用户互动。产品。安卓版本。Android-10Android ID: A-116117112
CVE-2019-20720|||某些NETGEAR设备受到存储XSS的影响。这影响了1.0.0.76之前的D3600、1.0.0.76之前的D6000、1.0.1.47之前的D7800、1.0.3.38之前的R7500v2、1.0.2之前的R7800。52、1.0.4.12之前的R8900、1.0.4.12之前的R9000、1.0.1.32之前的WN2000RPTv3、1.0.2.70之前的WN3000RPv3，以及1.0.0.66之前的WN3100RPv2。
CVE-2019-20721||某些NETGEAR设备受存储XSS影响。这影响了1.0.1.47之前的D7800，1.0.1.48之前的EX2700，1.0.1.76之前的EX6100v2，1.0.1.76之前的EX6150v2，1.0.1.72之前的EX6200v2，1.0.2.136之前的EX6400，1.0.2.136之前的EX7300，1.0.3.38之前的R7500v2，1.0.2.52之前的R7800，1.0.4之前的R8900。12，R9000在1.0.4.12之前，WN2000RPTv3在1.0.1.32之前，WN3000RPv2在1.0.0.68之前，WN3000RPv3在1.0.2.70之前，WN3100RPv2在1.0.0.66、1.0.0.58之前的WNDR4300v2、1.0.0.58之前的WNDR4500v3、1.0.0.66之前的WNR2000v5、2.3.2.32之前的XR450和2.3.2.32之前的XR500。
CVE-2019-20722||某些NETGEAR设备受到认证用户的命令注入影响。这影响了1.0.1.44之前的D7800，1.0.0.58之前的DM200，1.0.3.38之前的R7500v2，1.0.2.52之前的R7800，1.0.4.2之前的R8900，1.0.4.2之前的R9000，2.3.0.28之前的RBK20，2.3.0.28之前的RBR20，2。3.0.28之前的RBK50，2.3.0.32之前的RBR50，2.3.0.32之前的RBS50，2.3.0.28之前的RBS40，1.0.0.58之前的WNDR4300v2，1.0.0.58之前的WNDR4500v3，1.0.0.68之前的WNR2000v5和2.3.2.32之前的XR500。
CVE-2019-20723||某些NETGEAR设备受到认证用户基于堆栈的缓冲区溢出的影响。这影响了1.0.0.75之前的D3600，1.0.0.75之前的D6000，1.0.0.63之前的D6100，1.0.0.58之前的DM200，1.0.1.48之前的EX2700，1.0.1.76之前的EX6100v2。0.1.76之前，EX6150v2在1.0.1.76之前，EX6200v2在1.0.1.72之前，EX6400在1.0.2.136之前，EX7300在1.0.2.136之前，EX8000在1.0.1。180，1.0.2.52之前的R7800，1.0.4.2之前的R8900，1.0.4.2之前的R9000，1.0.1.32之前的WN2000RPTv3，1.0.0.68之前的WN3000RPv2，1.0.2.70之前，WN3100RPv2在1.0.0.60之前，WNDR4300v2在1.0.0.58之前，WNDR4500v3在1.0.0.58之前，WNR2000v5在1.0.0.68之前，以及XR500在2.3.2.32之前。
CVE-2019-20724||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.0.75之前的D3600，1.0.0.75之前的D6000，1.0.0.63之前的D6100，1.0.1.44之前的D7800，1.0.3.38之前的R7500v2。38，1.0.2.52之前的R7800，1.0.4.2之前的R8900，1.0.4.2之前的R9000，2.3.0.28之前的RBK20，2.3.0.28之前的RBR20，2.3.0.28之前的RBS20。28，RBK50在2.3.0.32之前，RBR50在2.3.0.32之前，RBS50在2.3.0.32之前，RBS40在2.3.0.28之前，WNDR3700v4在1.0.2。102、1.0.2.104之前的WNDR4300v1、1.0.0.58之前的WNDR4300v2、1.0.0.58之前的WNDR4500v3、1.0.0.68之前的WNR2000v5，以及2.3.2.32之前的XR500。
CVE-2019-20725||某些NETGEAR设备受到认证用户基于堆栈的缓冲区溢出的影响。这影响了1.0.0.75之前的D3600，1.0.0.75之前的D6000，1.0.0.63之前的D6100，1.0.2.52之前的R7800，1.0.4.2之前的R8900，1.0.4.2之前的R9000，1.0.2.102之前的WNDR3700v4。0.2.102之前的WNDR4300v1，1.0.2.104之前的WNDR4300v2，1.0.0.58之前的WNDR4500v3，1.0.0.68之前的WNR2000v5，以及2.3.2.32之前的XR500。
CVE-2019-20726||某些NETGEAR设备受到认证用户的命令注入影响。这影响了1.0.0.75之前的D3600、1.0.0.75之前的D6000、1.0.0.63之前的D6100、1.0.2.52之前的R7800、1.0.4.2之前的R8900、1.0.4.2之前的R9000、1.0.2.102之前的WNDR3700v4。0.2.102之前的WNDR4300v1，1.0.2.104之前的WNDR4300v2，1.0.0.58之前的WNDR4500v3，1.0.0.68之前的WNR2000v5，以及2.3.2.32之前的XR500。
CVE-2019-20727||某些NETGEAR设备受到认证用户的命令注入影响。这影响到1.0.0.63之前的D6100、1.0.2.52之前的R7800、1.0.4.2之前的R8900、1.0.4.2之前的R9000、1.0.2之前的WNDR3700v4。102、1.0.2.104之前的WNDR4300v1、1.0.0.58之前的WNDR4300v2、1.0.0.58之前的WNDR4500v3、1.0.0.68之前的WNR2000v5，以及2.3.2.32之前的XR500。
CVE-2019-20728||某些NETGEAR设备受认证用户的缓冲区溢出影响。这影响了1.0.0.74之前的D6400、1.0.0.74之前的D7000v2、1.0.1.34之前的D7800、1.0.3.39之前的D8500、1.0.0.102之前的DGN2200v4、1.0.0.102之前的DGND2200Bv4、1.0.0.52之前的DM200、1.0.0.22之前的JNDR3000、2.3.5.30之前的RBK50、2.3之前的RBR50。5.30之前，RBS50在2.3.5.30之前，RBW30在2.1.2.6之前，R6250在1.0.4.26之前，R6300v2在1.0.4.24之前，R6400在1.0.1.36, 1.0.2.52之前的R6400v2, 1.0.1.44之前的R6700, 1.0.1.44之前的R6900, 1.0.9.26之前的R7000, 1.3.0.20之前的R6900P, 1.3.0.20之前的R7100LG，1.0.0.40之前的R7300DST，1.0.0.62之前的R7500v2，1.0.3.26之前的R7800，1.0.2.44之前的R7900，1。0.2.10之前，R8000在1.0.4.12之前，R7900P在1.3.0.10之前，R8000P在1.3.0.10之前，R8300在1.0.2.116之前，R8500在1.0.2。116，1.0.3.10之前的R8900，1.0.3.10之前的R9000，1.0.1.18之前的WNDR3400v3，1.0.2.96之前的WNDR3700v4，1.0.2.98之前的WNDR4300v2，1.0.0.54之前的WNDR4500v3，1.0.0.54之前的WNR2000v5，1.0.0.64之前的WNR3500Lv2。
CVE-2019-20729||某些NETGEAR设备因安全设置的配置不正确而受到影响。这影响了1.0.0.22之前的JNDR3000、1.0.4.26之前的R6250、1.0.4.22之前的R6300v2、1.0.1.36之前的R6400、1.0.2.52之前的R6400v2、1.0.1.44之前的R6700、1.0.1.44之前的R6900、1.0.9.28之前的R7000、1.3.1.26之前的R6900P、1.3.1之前的R7000P。26, 1.0.0.62之前的R7300DST, 1.0.2.16之前的R7900, 1.0.4.18之前的R8000, 1.4.1.42之前的R7900P, 1.4.1之前的R8000P。42、1.0.2.116之前的R8300、1.0.2.116之前的R8500、1.0.1.18之前的WNDR3400v3、1.0.0.68之前的WNDR4500v2和1.2.0.48之前的WNR3500Lv2。
CVE-2019-2073||在libxaac中，存在一个可能的越界写入缺失的边界检查。这可能导致远程代码执行，不需要额外的执行权限。利用时需要用户互动。产品。安卓版本。Android-10Android ID: A-117100484
CVE-2019-20730||某些NETGEAR设备受到SQL注入的影响。这影响到1.0.0.68之前的D3600、1.0.0.68之前的D6000、1.1.00.28之前的D6200、1.0.0.40之前的D6220、1.0.0.74之前的D6400。74, 1.0.1.60之前的D7000, 1.0.0.74之前的D7000v2, 1.0.1.34之前的D7800, 1.0.3.39之前的D8500, 1.0.0.40之前的DC112A, 1.0.0.40之前的EX8000。118, JR6150在1.0.1.18之前, R6050在1.0.1.18之前, R6220在1.1.0.66之前, R6250在1.0.4.26之前, R6300v2在1.0.4.24之前, R6400在1.0。1.36之前，R6400v2在1.0.2.52之前，R6700在1.0.1.44之前，R6700v2在1.2.0.16之前，R6800在1.2.0.16之前，R6900v2在1.2.0.16之前，R6900在1。0.1.44之前，R7000在1.0.9.26之前，R6900P在1.3.0.20之前，R7000P在1.3.0.20之前，R7100LG在1.0.0.40之前，R7300DST在1.0.0.62, 1.0.0.118之前的R7500, 1.0.3.26之前的R7500v2, 1.0.2.40之前的R7800, 1.0.2.10之前的R7900, 1.0.4.12之前的R8000, 1.3之前的R7900P。0.10之前，R8000P在1.3.0.10之前，R8300在1.0.2.116之前，R8500在1.0.2.116之前，R8900在1.0.3.6之前，R9000在1.0.3.10之前，WNDR3700v4在1。0.2.102之前的WNDR3700v5，1.1.0.54之前的WNDR4300v1，1.0.2.98之前的WNDR4300v2和1.0.0.56之前的WNDR4500v3。
CVE-2019-20731||某些NETGEAR设备受认证用户的缓冲区溢出影响。这影响到1.0.0.40之前的D6220、1.0.0.74之前的D6400、1.0.0.74之前的D7000v2、1.0.3.39之前的D8500、1.0.0.70之前的EX3700、1.0.0.70之前的EX3800、1.0.0.30之前的EX6000。30, 1.0.2.22之前的EX6100, 1.0.0.40之前的EX6120, 1.0.0.22之前的EX6130, 1.0.0.42之前的EX6150v1, 1.0.3.88之前的EX6200, 1.0.0.66之前的EX7000, R6250 1.0.4.20之前, R6300v2 1.0.4.18, 1.0.2.52之前的R6400v2, 1.0.1.44之前的R6700, 1.0.1.46之前的R6900, 1.0.9.26之前的R7000, 1.3.0.20之前的R6900P, 1.3.0.20之前的R7000P, 1.0.0.34之前的R7100LG, 1.0.0.62之前，1.0.4.12之前的R8000，1.3.0.10之前的R7900P，1.3.0.10之前的R8000P，1.0.2.116之前的R8300，1.0.2.116之前的R8500，1.0.1.54之前的WN2500RPv2，1.0.1.18之前的WNDR3400v3。
CVE-2019-20732||某些NETGEAR设备受到认证用户的命令注入影响。这影响了1.0.0.40之前的D6220、1.0.0.74之前的D7000v2、1.0.3.39之前的D8500、1.0.0.102之前的DGN2200v4、1.0.0.102之前的DGND2200Bv4、1.0.0.70之前的EX3700、1.0.0.70之前的EX3800、1.0.0.70之前的EX6000。30, 1.0.2.22之前的EX6100, 1.0.0.40之前的EX6120, 1.0.0.22之前的EX6130, 1.0.0.42之前的EX6150v1, 1.0.3.88之前的EX6200, 1.0.0.66之前的EX7000, 1.0.4.20之前的R6250, 1.0.4.24之前的R6300v2, 1.0之前的R6400。1.32，1.0.2.44之前的R6400v2，1.0.1.46之前的R6700，1.0.1.46之前的R6900，1.0.9.26之前的R7000，1.3.0.20之前的R6900P，1.3.0.20之前的R7000P，1.0.0.40之前的R7100LG，1.0.0.62之前的R7300DST，1.0.2.10之前，1.0.4.12之前的R8000，1.3.0.10之前的R7900P，1.3.0.10之前的R8000P，1.0.2.106之前的R8300，1.0.2.106之前的R8500，1.0.1.54之前的WN2500RPv2，1.0.1.18之前的WNDR3400v3和1.2.0.48之前的WNR3500Lv2。
CVE-2019-20733||某些NETGEAR设备受到未经认证的攻击者基于堆栈的缓冲区溢出的影响。这影响了1.0.0.44之前的D6220、1.0.0.78之前的D6400、1.0.0.51之前的D7000v2、1.0.3.42之前的D8500、1.0.0.110之前的DGN2200v4、1.0.0.110之前的DGND2200Bv4、1.0.0.70之前的EX3700、1.0.0.70之前的EX3800、1.0.0.70之前的EX6000。0.0.30之前的EX6100，1.0.2.24之前的EX6120，1.0.0.40之前的EX6130，1.0.0.22之前的EX6150v1，1.0.0.42之前的EX6200，1.0.3.88之前的EX7000，1.0.0.66之前的R6250，1.0.4.26之前的R6300v2，1.0.4.28之后的R6400。0.1.36之前，R6400v2在1.0.2.52之前，R6700在1.0.1.46之前，R6900在1.0.1.46之前，R7000在1.0.9.28之前，R6900P在1.3.1.64之前，R7000P在1.3.1.64之前，R7100LG在1.0.0.46之前，R7300DST在1.0.0.68之前，R7900在1。0.2.10之前，1.0.4.12之前的R8000，1.3.0.10之前的R7900P，1.3.0.10之前的R8000P，1.0.2.122之前的R8300，1.0.2.122之前的R8500，1.0.1.54之前的WN2500RPv2，1.0.1.22之前的WNDR3400v3和1.2.0.54之前的WNR3500Lv2。
CVE-2019-20734||某些NETGEAR设备受到未经授权的攻击者的缓冲区溢出的影响。这影响到1.0.0.40之前的D6220、1.0.3.39之前的D8500、1.0.0.70之前的EX3700、1.0.0.70之前的EX3800、1.0.0.30之前的EX6000、1.0.2.22之前的EX6100、1.0.0.40之前的EX6120。0.0.40之前，1.0.0.22之前的EX6130，1.0.0.42之前的EX6150v1，1.0.3.88之前的EX6200，1.0.0.66之前的EX7000，1.0.4.18之前的R6300v2，1.0.1.24之前的R6400，1。0.2.32之前的R6700，1.0.1.22之前的R6700v3，1.0.2.32之前的R6900，1.0.1.22之前的R7000，1.0.9.6之前的R6900P，1.0.0.56之前的R7000P，1.0.0.56之前的R7100LG。0.0.42之前的R7300DST，1.0.0.54之前的R7900，1.0.1.26之前的R8300，1.0.2.106之前的R8500，1.0.2.106之前的WN2500RPv2，以及1.2.0.46之前的WNR3500Lv2。注意：这可能是CVE-2017-18864的不完整修复的结果。
CVE-2019-20735||某些NETGEAR设备受到认证用户基于堆栈的缓冲区溢出的影响。这影响到1.0.0.75之前的D3600，V1.0.0.75之前的D6000，V1.0.0.63之前的D6100，V1.0.2.52之前的R7800，V1.0.4.2之前的R8900，V1.0.4.2之前的R9000，v2.3.0.32之前的RBK50，v2.3.0.之前的RBR50。32之前，RBS50在v2.3.0.32之前，WNDR3700v4在V1.0.2.102之前，WNDR4300v1在V1.0.2.104之前，WNDR4300v2在v1.0.0.58之前，WNDR4500v3在v1.0.0.58之前，WNR2000v5在v1.0.0.68之前，以及XR500在v2.3.2.32之前。
CVE-2019-20736||某些NETGEAR设备受到认证用户的基于堆栈的缓冲区溢出的影响。这影响了1.0.0.72之前的D6000，1.0.0.63之前的D6100，1.0.2.52之前的R7800，1.0.4.2之前的R8900，1.0.4.2之前的R9000，1.0.2.02之前的WNDR3700v4。0.2.102之前的WNDR4300v1，1.0.2.104之前的WNDR4300v2，1.0.0.58之前的WNDR4500v3，1.0.0.68之前的WNR2000v5，以及2.3.2.32之前的XR500。
